"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","0","0","0","0","0","0","0","1","25","1","5","0","0","0","0","212981505","9340000","0","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","479614070","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","0","0","0","0","0","0","341865920","16785000","14520000","76112890"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","0","0","0","0","0","0","0","4","49","0","0","0","0","0","0","246995720","23967130","17975940","168947000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","0","0","0","0","0","0","0","4","80","1","8","0","0","0","0","239895750","46998490","39908000","51814000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","0","0","0","0","0","0","0","2","58","0","0","0","0","0","0","80697020","53824820","27242000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","0","0","0","0","0","0","0","1","28","0","0","0","0","0","0","624095300","50558520","7320000","44022000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","0","0","0","0","0","0","0","4","60","0","0","0","0","0","0","496976200","36052360","26158880","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","0","0","0","0","0","0","0","4","38","1","4","0","0","0","0","377809460","97894070","33920000","134739120"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","1","3","0","0","0","0","144040000","8550000","28420000","22580000"
