"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","정부이전수입","기타이전수입","학부모부담수입","지원금수입","행정활동수입","기타"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001061","유석초등학교","02","사립","N","","복식부기","예산세입","0","2170000","3392888000","0","17050000","80000000"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001197","동광초등학교","02","사립","N","","복식부기","예산세입","0","0","4968467000","0","27961000","30000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001394","경희초등학교","02","사립","N","","복식부기","예산세입","0","204792000","4402633000","0","49200000","15000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 중랑구","S010001395","금성초등학교","02","사립","N","","복식부기","예산세입","1000000","78533000","5698966000","0","46760000","1170000000"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001396","서울삼육초등학교","02","사립","N","","복식부기","예산세입","0","12624000","5966337000","0","51500000","0"
"서울특별시교육청","서울특별시동부교육지원청","서울특별시 동대문구","S010001434","은석초등학교","02","사립","N","","복식부기","예산세입","0","110500000","5271564000","0","27280000","150000000"
"서울특별시교육청","서울특별시동작관악교육지원청","서울특별시 동작구","S010001613","중앙대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","673836000","0","7235572000","0","45592000","410000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001733","동북초등학교","02","사립","N","","복식부기","예산세입","0","0","5237876000","0","56340000","250000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001734","상명초등학교","02","사립","N","","복식부기","예산세입","0","15967000","5874233000","0","58810000","980000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001792","청원초등학교","02","사립","N","","복식부기","예산세입","0","0","3988400000","0","63303000","1750000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001793","태강삼육초등학교","02","사립","N","","복식부기","예산세입","0","24427000","6279186000","0","63184000","300000000"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 도봉구","S010001794","한신초등학교","02","사립","N","","복식부기","예산세입","0","12000000","6201911000","0","15500000","0"
"서울특별시교육청","서울특별시북부교육지원청","서울특별시 노원구","S010001795","화랑초등학교","02","사립","N","","복식부기","예산세입","0","10000000","7657754000","0","31000000","560000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010001966","경기초등학교","02","사립","N","","복식부기","예산세입","0","0","6571944000","0","17550000","3915000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010001967","명지초등학교","02","사립","N","","복식부기","예산세입","0","0","5708347000","0","22210000","25700000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002019","선일초등학교","02","사립","N","","복식부기","예산세입","0","2000000","4701875000","0","54500000","400000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002021","예일초등학교","02","사립","N","","복식부기","예산세입","0","0","3355200000","0","50700000","2020000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010002023","이화여자대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","0","247600000","6015386000","0","33250000","5000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 서대문구","S010002024","추계초등학교","02","사립","N","","복식부기","예산세입","294519000","110000000","2362493000","0","8988000","50000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 은평구","S010002025","충암초등학교","02","사립","N","","복식부기","예산세입","0","0","4269137000","0","37005000","1140000000"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 마포구","S010002026","홍익대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","9380000","500000","3767216000","0","66536000","345000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002163","경복초등학교","02","사립","N","","복식부기","예산세입","0","10000000","9176942000","0","29160000","1000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002196","성동초등학교","02","사립","N","","복식부기","예산세입","9963000","21750000","6710808000","0","41360000","1650000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002197","세종초등학교","02","사립","N","","복식부기","예산세입","0","1000000","3962954000","0","14800000","370000000"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002198","한양초등학교","02","사립","N","","복식부기","예산세입","0","396989000","7640820000","0","62543000","1000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002289","광운초등학교","02","사립","N","","복식부기","예산세입","0","0","6378536000","0","41301000","50000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002290","대광초등학교","02","사립","N","","복식부기","예산세입","1000000","54541000","3081824000","0","9120000","52060000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002291","매원초등학교","02","사립","N","","복식부기","예산세입","0","8000000","5487223000","0","22940000","440000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002326","성신초등학교","02","사립","N","","복식부기","예산세입","0","1000000","4138390000","0","10074000","244000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 강북구","S010002327","영훈초등학교","02","사립","N","","복식부기","예산세입","415023000","270078000","7427053000","0","33586000","600000000"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 성북구","S010002328","우촌초등학교","02","사립","N","","복식부기","예산세입","30434000","0","7298106000","0","95290000","5750000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010002365","계성초등학교","02","사립","N","","복식부기","예산세입","0","368534000","6589644000","0","40760000","0"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002366","동산초등학교","02","사립","N","","복식부기","예산세입","504502000","50000000","5775407000","0","33600000","100000"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002367","리라초등학교","02","사립","N","","복식부기","예산세입","0","0","7073225000","0","27252000","70000000"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002368","상명대학교사범대학부속초등학교","02","사립","N","","복식부기","예산세입","49436000","0","2701800000","0","19490000","940000"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 중구","S010002403","숭의초등학교","02","사립","N","","복식부기","예산세입","5227000","52800000","5627667000","0","25900000","0"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 용산구","S010002404","신광초등학교","02","사립","N","","복식부기","예산세입","0","0","2889787000","0","35000000","800000000"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S010002405","운현초등학교","02","사립","N","","복식부기","예산세입","0","205640000","1426280000","0","2890000","50000000"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000626","남성초등학교","02","사립","N","","복식부기","예산세입","384957000","100000","3984796000","0","7950000","23643000"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000642","부산삼육초등학교","02","사립","N","","복식부기","예산세입","0","249500000","1969933000","0","2000000","0"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 금정구","S020000813","동래초등학교","02","사립","N","","복식부기","예산세입","0","20000000","6788067000","0","10400000","0"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 동래구","S020000836","혜화초등학교","02","사립","N","","복식부기","예산세입","0","5000000","3083185000","0","2901000","1000"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 부산진구","S020001006","동성초등학교","02","사립","N","","복식부기","예산세입","434186000","6000000","7932139000","0","19085000","1000000"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020002091","부산알로이시오초등학교","02","사립","N","","복식부기","예산세입","1403426000","6780000","0","0","1200000","0"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000459","효성초등학교","02","사립","N","","복식부기","예산세입","0","2500000","5244924000","0","13310000","10244000"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000658","계성초등학교","02","사립","N","","복식부기","예산세입","0","20000000","6610836000","0","64075000","40000000"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000722","대구삼육초등학교","02","사립","N","","복식부기","예산세입","0","30000000","1940300000","0","23450000","30100000"
