"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","초등돌봄참여학생중 특수교육대상학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","77","12","178","16","255","255","1","25","1","8","0","0","0","0","0","53477340","10740000","0","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","14","129","18","235","32","364","170","0","0","0","0","0","0","0","0","0","0","7657200","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","77","16","230","21","307","123","2","50","0","0","0","0","0","0","0","8345940","10942560","0","43470000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","0","0","0","0","0","0","0","4","98","0","0","0","0","0","0","0","0","0","0","150885430"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","0","0","0","0","0","0","0","4","67","1","10","0","0","0","0","0","0","8000000","0","22000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","17","283","36","684","53","967","967","2","48","0","0","0","0","0","0","0","56435300","12867900","2895000","28421150"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","0","0","0","0","0","0","0","1","28","0","0","1","30","0","0","0","0","10550000","0","52659000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","0","0","58","653","58","653","350","4","121","1","4","0","0","0","0","0","0","0","0","138790900"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","0","0","0","0","0","0","0","4","66","0","0","0","0","0","0","0","0","10550000","16650000","141920410"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","0","0","0","0","0","0","0","2","49","0","0","1","21","0","0","0","0","7200000","0","118207600"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","0","0","3","9","3","9","9","2","16","0","0","1","13","0","0","0","0","28078870","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","12","318","12","303","24","621","621","1","25","0","0","0","0","0","0","0","0","22187190","0","50225770"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","6","127","50","484","56","611","335","2","44","1","2","1","27","0","0","0","0","9550000","5419940","34499000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","5","160","32","733","37","893","447","4","91","1","10","1","10","0","0","0","197725950","10550000","172951330","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","9","134","3","37","12","171","155","1","47","1","2","1","14","0","0","0","12780820","7825910","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","Y","코로나19로 인한 방과후학교 미운영 및 계획 없음","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","3","31","5","63","8","94","73","2","24","0","0","1","20","0","0","0","0","171800000","0","97800440"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","Y","코로나 19로 인한 미실시","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","19","122","8","66","27","188","132","3","79","1","2","2","39","0","0","0","38532700","0","0","137774300"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","0","0","0","0","0","0","0","1","23","1","2","1","5","0","0","0","0","0","0","58669840"
