"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","적령 아동-남","적령 아동-여","적령 아동-합계","적령 아동-비율","유예 및 과령 아동-남","유예 및 과령 아동-여","유예 및 과령 아동-합계","유예 및 과령 아동-비율","조기입학아동-남","조기입학아동-여","조기입학아동-합계","조기입학아동-비율","계-남","계-여","합계"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","46","47","93","96.9","1","0","1","1.0","1","1","2","2.1","48","48","96"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","49","48","97","98.0","0","0","0","0.0","1","1","2","2.0","50","49","99"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","82","62","144","99.3","0","0","0","0.0","0","1","1","0.7","82","63","145"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","59","61","120","99.2","0","0","0","0.0","0","1","1","0.8","59","62","121"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","20","33","53","100.0","0","0","0","0.0","0","0","0","0.0","20","33","53"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","64","51","115","100.0","0","0","0","0.0","0","0","0","0.0","64","51","115"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","136","124","260","100.0","0","0","0","0.0","0","0","0","0.0","136","124","260"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","78","57","135","100.0","0","0","0","0.0","0","0","0","0.0","78","57","135"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","48","48","96","99.0","0","0","0","0.0","0","1","1","1.0","48","49","97"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","21","22","43","100.0","0","0","0","0.0","0","0","0","0.0","21","22","43"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","8","17","25","100.0","0","0","0","0.0","0","0","0","0.0","8","17","25"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","94","69","163","100.0","0","0","0","0.0","0","0","0","0.0","94","69","163"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","46","32","78","100.0","0","0","0","0.0","0","0","0","0.0","46","32","78"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","50","65","115","99.1","0","0","0","0.0","0","1","1","0.9","50","66","116"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","139","91","230","88.5","11","19","30","11.5","0","0","0","0.0","150","110","260"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","116","78","194","100.0","0","0","0","0.0","0","0","0","0.0","116","78","194"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","57","53","110","97.3","0","0","0","0.0","0","3","3","2.7","57","56","113"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","53","70","123","100.0","0","0","0","0.0","0","0","0","0.0","53","70","123"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","69","84","153","99.4","0","0","0","0.0","0","1","1","0.6","69","85","154"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","24","17","41","100.0","0","0","0","0.0","0","0","0","0.0","24","17","41"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","40","36","76","96.2","0","1","1","1.3","0","2","2","2.5","40","39","79"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","50","41","91","100.0","0","0","0","0.0","0","0","0","0.0","50","41","91"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","100","108","208","99.5","1","0","1","0.5","0","0","0","0.0","101","108","209"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","120","104","224","100.0","0","0","0","0.0","0","0","0","0.0","120","104","224"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","112","102","214","100.0","0","0","0","0.0","0","0","0","0.0","112","102","214"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","47","44","91","100.0","0","0","0","0.0","0","0","0","0.0","47","44","91"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","74","84","158","100.0","0","0","0","0.0","0","0","0","0.0","74","84","158"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","10","11","21","100.0","0","0","0","0.0","0","0","0","0.0","10","11","21"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","34","35","69","100.0","0","0","0","0.0","0","0","0","0.0","34","35","69"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","98","86","184","98.9","0","0","0","0.0","0","2","2","1.1","98","88","186"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","75","64","139","99.3","0","0","0","0.0","0","1","1","0.7","75","65","140"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","72","71","143","100.0","0","0","0","0.0","0","0","0","0.0","72","71","143"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","65","42","107","100.0","0","0","0","0.0","0","0","0","0.0","65","42","107"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","45","41","86","100.0","0","0","0","0.0","0","0","0","0.0","45","41","86"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","123","118","241","100.0","0","0","0","0.0","0","0","0","0.0","123","118","241"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","141","142","283","100.0","0","0","0","0.0","0","0","0","0.0","141","142","283"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","111","118","229","98.7","0","2","2","0.9","0","1","1","0.4","111","121","232"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","34","33","67","100.0","0","0","0","0.0","0","0","0","0.0","34","33","67"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","17","28","45","100.0","0","0","0","0.0","0","0","0","0.0","17","28","45"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","66","59","125","99.2","1","0","1","0.8","0","0","0","0.0","67","59","126"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","25","15","40","97.6","0","0","0","0.0","0","1","1","2.4","25","16","41"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","97","106","203","100.0","0","0","0","0.0","0","0","0","0.0","97","106","203"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","83","90","173","99.4","0","0","0","0.0","0","1","1","0.6","83","91","174"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","44","46","90","100.0","0","0","0","0.0","0","0","0","0.0","44","46","90"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","47","29","76","100.0","0","0","0","0.0","0","0","0","0.0","47","29","76"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","118","84","202","100.0","0","0","0","0.0","0","0","0","0.0","118","84","202"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","49","37","86","100.0","0","0","0","0.0","0","0","0","0.0","49","37","86"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","48","38","86","96.6","2","0","2","2.2","1","0","1","1.1","51","38","89"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","45","45","90","100.0","0","0","0","0.0","0","0","0","0.0","45","45","90"
