"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","0","0","4","5800000","0","0","4","5800000","0","0","0","0","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","2","140","1","2000000","0","0","3","2000140","0","0","0","401369","401369"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","800000","800000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","2","107000000","0","0","0","0","2","107000000","86387110","6967420","0","0","93354530"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","1","3920000","0","0","0","0","1","3920000","0","3920000","0","5096","3925096"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","5","3300000","2","12500000","0","0","7","15800000","3300000","1000000","0","14150","4314150"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","1","29000000","0","0","0","0","1","29000000","0","29247080","0","0","29247080"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","Y","2020년 발전기금 접수내역이 없음","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","14","14700000","1","1200000","0","0","15","15900000","0","12600000","0","3033800","15633800"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","1","4000000","0","0","0","0","1","4000000","0","4000000","0","558","4000558"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","1","2000000","0","0","0","0","1","2000000","0","2000000","0","0","2000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","2","22868200","0","0","0","0","2","22868200","368200","22500000","0","0","22868200"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","1","3200000","0","0","0","0","1","3200000","0","0","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","0","0","4","21000000","0","0","4","21000000","0","0","0","8164","8164"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","1","25000000","0","0","0","0","1","25000000","0","25000000","0","0","25000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","2","11000000","6","45456500","0","0","8","56456500","6840000","1005392","0","0","7845392"
