"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","복식부기","예산세출","65980000","60512000","221969000","152035000","123996000","344027000","90800000","436000"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","복식부기","예산세출","0","502000000","35000000","11876000","99984000","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","복식부기","예산세출","11670000","65616000","96500000","11500000","75610000","277070000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","복식부기","예산세출","5320000","141233000","92443000","65640000","150352000","254777000","5000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","복식부기","예산세출","13140000","90990000","68440000","11600000","68355000","289562000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","복식부기","예산세출","16240000","131644000","108860000","81299000","68574000","315891000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","복식부기","예산세출","8800000","131543000","183785000","16966000","65590000","345683000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","복식부기","예산세출","6420000","85155000","94378000","12900000","69448000","303935000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","복식부기","예산세출","12850000","81405000","128360000","16520000","98479000","302957000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","복식부기","예산세출","6780000","66057000","61650000","8520000","106867000","223782000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","복식부기","예산세출","8904000","46598000","62256000","7240000","70821000","206007000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","복식부기","예산세출","15310000","166696000","139190000","20500000","90151000","300450000","0","5500000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","복식부기","예산세출","10850000","197324000","67550000","18191000","72968000","237298000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","복식부기","예산세출","9370000","74243000","101475000","13800000","156781000","803007000","0","5000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","복식부기","예산세출","10700000","77480000","162020000","15200000","116741000","354070000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","복식부기","예산세출","9590000","83798000","139945000","23970000","86709000","298847000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","복식부기","예산세출","5900000","77684000","57720000","18940000","67390000","287054000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","복식부기","예산세출","10470000","74542000","90860000","21355000","102206000","278393000","0","2000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","복식부기","예산세출","10780000","81900000","91790000","17500000","69749000","287378000","0","1000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","복식부기","예산세출","9720000","99875000","42340000","13822000","47896000","210709000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","복식부기","예산세출","8140000","93176000","50378000","4960000","77522000","251698000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","복식부기","예산세출","8720000","512645000","93872000","14100000","69935000","203725000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","복식부기","예산세출","16670000","85362000","121770000","26900000","76503000","330666000","0","500000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","복식부기","예산세출","14618000","71158000","152566000","16800000","123522000","330099000","0","1000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","복식부기","예산세출","17009000","86343000","124027000","20000000","120726000","307785000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","복식부기","예산세출","11450000","66331000","82431000","11600000","60894000","216779000","0","500000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","복식부기","예산세출","14985000","74546000","105190000","23750000","81851000","270879000","0","23000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","복식부기","예산세출","6745000","64269000","53215000","9500000","51815000","218012000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","복식부기","예산세출","7220000","85815000","71410000","12350000","89504000","292872000","159706000","0"
