"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","정부이전수입","기타이전수입","학부모부담수입","지원금수입","행정활동수입","기타"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","복식부기","예산세입","125500000","389912000","1861810000","0","20990000","0"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","Y","국립법인이라서 사립학교군에 속해서 제외처리","복식부기","","0","0","0","0","0","0"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","복식부기","예산세입","433040000","0","1591575000","0","13600000","140000000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","복식부기","예산세입","775022000","0","533058000","0","6100000","40000000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","복식부기","예산세입","779061000","0","78432000","0","72600000","45000000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","복식부기","예산세입","1012158000","0","187842000","0","223300000","32115000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","복식부기","예산세입","1012622000","0","1867831000","0","98735000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","복식부기","예산세입","899559000","0","639461000","0","39400000","23000000"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","복식부기","예산세입","1052478000","0","362488000","0","60308000","40000000"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","복식부기","예산세입","976821000","0","532360000","0","20830000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","복식부기","예산세입","864689000","0","802435000","0","11484000","30000000"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","복식부기","예산세입","1158795000","0","330200000","0","6480000","50000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","복식부기","예산세입","895869000","0","82576000","0","66550000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","복식부기","예산세입","889626000","0","726602000","0","137300000","23000000"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","복식부기","예산세입","765395000","0","828859000","0","21150000","35000000"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","복식부기","예산세입","891310000","0","112913000","0","49900000","30000000"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","복식부기","예산세입","735019000","0","861043000","0","8650000","35500000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","복식부기","예산세입","907767000","0","1088896000","0","5000000","30000000"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","복식부기","예산세입","911448000","0","86400000","0","53550000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","복식부기","예산세입","823599000","0","371430000","0","30394000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","복식부기","예산세입","758363000","0","63348000","0","8550000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","복식부기","예산세입","771758000","0","97920000","0","59000000","30000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","복식부기","예산세입","730293000","27500000","797563000","0","54702000","30000000"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","복식부기","예산세입","927951000","0","61440000","0","67920000","35000000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","복식부기","예산세입","755419000","29176000","366725000","0","31300000","23000000"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","복식부기","예산세입","953851000","0","214184000","0","30050000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","복식부기","예산세입","721553000","0","737522000","0","28792000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000434","명일여자고등학교","04","공립","N","","복식부기","예산세입","827430000","0","593222000","0","193603000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000436","무학여자고등학교","04","공립","N","","복식부기","예산세입","914957000","0","411269000","0","99216000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","복식부기","예산세입","813078000","0","467523000","0","66200000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000448","삼성고등학교","04","공립","N","","복식부기","예산세입","752206000","0","536746000","0","80000000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000449","상계고등학교","04","공립","N","","복식부기","예산세입","915968000","0","960185000","0","30000000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000456","서울고등학교","04","공립","N","","복식부기","예산세입","1017597000","0","4453812000","0","418518000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000460","서울여자고등학교","04","공립","N","","복식부기","예산세입","782289000","0","203482000","0","130984000","15800000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000461","서울체육고등학교","04","공립","N","","복식부기","예산세입","5520864000","0","57960000","0","393850000","35300000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000463","서초고등학교","04","공립","N","","복식부기","예산세입","776138000","0","105732000","0","211070000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000464","석관고등학교","04","공립","N","","복식부기","예산세입","853384000","0","243338000","0","45570000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000469","성동고등학교","04","공립","N","","복식부기","예산세입","805094000","0","571820000","0","366150000","26000000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000477","수도여자고등학교","04","공립","N","","복식부기","예산세입","893428000","0","116160000","0","121560000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000478","수락고등학교","04","공립","N","","복식부기","예산세입","658334000","0","769011000","0","23030000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000484","신림고등학교","04","공립","N","","복식부기","예산세입","788895000","0","301896000","0","11000000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000485","신목고등학교","04","공립","N","","복식부기","예산세입","1051417000","0","909107000","0","76100000","5000000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000487","양재고등학교","04","공립","N","","복식부기","예산세입","820063000","0","1060202000","0","72800000","36000000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000491","언남고등학교","04","공립","N","","복식부기","예산세입","801907000","0","673780000","0","55050000","40000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000492","여의도고등학교","04","공립","N","","복식부기","예산세입","885526000","0","151448000","0","81010000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000493","여의도여자고등학교","04","공립","N","","복식부기","예산세입","751842000","0","84000000","0","57600000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000497","영등포고등학교","04","공립","N","","복식부기","예산세입","848381000","0","613684000","0","62511000","35000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000498","영등포여자고등학교","04","공립","N","","복식부기","예산세입","902743000","0","46368000","0","8140000","23000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000501","영신고등학교","04","공립","N","","복식부기","예산세입","870325000","0","278840000","0","25050000","33359000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000507","오금고등학교","04","공립","N","","복식부기","예산세입","809210000","0","907676000","0","38500000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000511","용산고등학교","04","공립","N","","복식부기","예산세입","1046006000","0","723488000","0","122700000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000519","인헌고등학교","04","공립","N","","복식부기","예산세입","812241000","0","673634000","0","34800000","10000000"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000521","자양고등학교","04","공립","N","","복식부기","예산세입","892645000","0","97567000","0","108550000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000522","잠신고등학교","04","공립","N","","복식부기","예산세입","869332000","0","104885000","0","56200000","5000000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000523","잠실고등학교","04","공립","N","","복식부기","예산세입","835503000","0","734964000","0","125750000","20000000"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000530","중경고등학교","04","공립","N","","복식부기","예산세입","871195000","0","103512000","0","110060000","13000000"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000536","중화고등학교","04","공립","N","","복식부기","예산세입","798905000","0","301774000","0","31333000","35000000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000539","창덕여자고등학교","04","공립","N","","복식부기","예산세입","867743000","0","913168000","0","39300000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000540","창동고등학교","04","공립","N","","복식부기","예산세입","1010116000","0","130968000","0","100945000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000542","청담고등학교","04","공립","N","","복식부기","예산세입","799516000","0","238055000","0","4150000","25000000"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000543","청량고등학교","04","공립","N","","복식부기","예산세입","922696000","0","475236000","0","31370000","23000000"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000547","태릉고등학교","04","공립","N","","복식부기","예산세입","881958000","0","1159136000","0","31785000","30000000"
