"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","복식부기","예산세출","69561000","790288000","550430000","847800000","41590000","38239000","60304000","0"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","Y","국립법인이라서 사립학교군에 속해서 제외처리","복식부기","","0","0","0","0","0","0","0","0"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","복식부기","예산세출","56708000","989055000","85170000","883700000","27640000","115721000","20221000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","복식부기","예산세출","80744000","514841000","135728000","10800000","96209000","515858000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","복식부기","예산세출","64986000","84824000","89680000","22300000","202855000","510448000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","복식부기","예산세출","94730000","131395000","232152000","17785000","152869000","826484000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","복식부기","예산세출","98716000","1301303000","477660000","261380000","155993000","692136000","2000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","복식부기","예산세출","59266000","601611000","159326000","21202000","139823000","617192000","2000000","1000000"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","복식부기","예산세출","98261000","349770000","240666000","115013000","83808000","627756000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","복식부기","예산세출","87206000","473663000","140011000","140890000","90369000","612872000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","복식부기","예산세출","77523000","791737000","125269000","55988000","84095000","573996000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","복식부기","예산세출","61647000","643167000","124180000","28410000","159288000","528783000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","복식부기","예산세출","115328000","15690000","115628000","44469000","220542000","542838000","10500000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","복식부기","예산세출","92300000","680910000","189565000","56300000","140955000","616498000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","복식부기","예산세출","56128000","672494000","220819000","88408000","80367000","497188000","35000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","복식부기","예산세출","69550000","70708000","222085000","68468000","149214000","504098000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","복식부기","예산세출","98295000","836856000","157874000","22561000","85498000","438628000","0","500000"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","복식부기","예산세출","78916000","874027000","192873000","210326000","47756000","627765000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","복식부기","예산세출","68906000","84991000","210003000","29630000","235001000","442867000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","복식부기","예산세출","68644000","366506000","119974000","14083000","107006000","562710000","0","1500000"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","복식부기","예산세출","64031000","69661000","176850000","17014000","85352000","442353000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","복식부기","예산세출","64202000","74313000","88514000","20322000","120858000","590469000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","복식부기","예산세출","74260000","793532000","103819000","25023000","99780000","541044000","2600000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","복식부기","예산세출","62244000","65761000","186458000","67008000","184134000","526706000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","복식부기","예산세출","68285000","306119000","98702000","53950000","201810000","476754000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","복식부기","예산세출","59300000","192141000","195410000","23762000","100219000","637253000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","복식부기","예산세출","64730000","681887000","48832000","10050000","59595000","622773000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000434","명일여자고등학교","04","공립","N","","복식부기","예산세출","111949000","592086000","213741000","28986000","81173000","606320000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000436","무학여자고등학교","04","공립","N","","복식부기","예산세출","85346000","351435000","241026000","72526000","107411000","592698000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","복식부기","예산세출","80742000","453055000","191072000","9560000","93262000","539110000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000448","삼성고등학교","04","공립","N","","복식부기","예산세출","64430000","533934000","229601000","15000000","139502000","401485000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000449","상계고등학교","04","공립","N","","복식부기","예산세출","76712000","874246000","46340000","103580000","60817000","764458000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000456","서울고등학교","04","공립","N","","복식부기","예산세출","107630000","1421092000","234680000","2724370000","96635000","1312788000","2732000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000460","서울여자고등학교","04","공립","N","","복식부기","예산세출","70360000","194442000","90847000","70333000","104852000","601721000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000461","서울체육고등학교","04","공립","N","","복식부기","예산세출","87184000","1793075000","110710000","2528134000","287269000","1090302000","110000000","1300000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000463","서초고등학교","04","공립","N","","복식부기","예산세출","127161000","78414000","184756000","28879000","83592000","600138000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000464","석관고등학교","04","공립","N","","복식부기","예산세출","59284000","225160000","208923000","21923000","86678000","530324000","20000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000469","성동고등학교","04","공립","N","","복식부기","예산세출","67090000","523117000","183310000","70688000","109427000","737081000","78350000","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000477","수도여자고등학교","04","공립","N","","복식부기","예산세출","79814000","46605000","196929000","127370000","130818000","564612000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000478","수락고등학교","04","공립","N","","복식부기","예산세출","60980000","782759000","114580000","18679000","84249000","403928000","0","200000"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000484","신림고등학교","04","공립","N","","복식부기","예산세출","50911000","356025000","136660000","23446000","191997000","360252000","2500000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000485","신목고등학교","04","공립","N","","복식부기","예산세출","93470000","731137000","121302000","190372000","224349000","680994000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000487","양재고등학교","04","공립","N","","복식부기","예산세출","76520000","1041327000","227640000","6840000","99576000","536162000","0","1000000"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000491","언남고등학교","04","공립","N","","복식부기","예산세출","78672000","667132000","210077000","19482000","123554000","468820000","3000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000492","여의도고등학교","04","공립","N","","복식부기","예산세출","72824000","141990000","196198000","19165000","106214000","593593000","8000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000493","여의도여자고등학교","04","공립","N","","복식부기","예산세출","76265000","57050000","93853000","86964000","105376000","493933000","0","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000497","영등포고등학교","04","공립","N","","복식부기","예산세출","63549000","621435000","253351000","16290000","117928000","473521000","13502000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000498","영등포여자고등학교","04","공립","N","","복식부기","예산세출","73878000","47986000","124562000","93940000","103453000","533432000","0","3000000"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000501","영신고등학교","04","공립","N","","복식부기","예산세출","57320000","283991000","220508000","14974000","101267000","526155000","0","3359000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000507","오금고등학교","04","공립","N","","복식부기","예산세출","71422000","902996000","104039000","30960000","198760000","472209000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000511","용산고등학교","04","공립","N","","복식부기","예산세출","93500000","658031000","138947000","34180000","171761000","820775000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000519","인헌고등학교","04","공립","N","","복식부기","예산세출","64866000","554521000","97260000","168130000","108218000","537680000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000521","자양고등학교","04","공립","N","","복식부기","예산세출","88420000","73470000","234145000","17210000","119159000","581358000","5000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000522","잠신고등학교","04","공립","N","","복식부기","예산세출","71448000","81700000","182155000","66447000","95001000","538666000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000523","잠실고등학교","04","공립","N","","복식부기","예산세출","69686000","627266000","195566000","165985000","119739000","537975000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000530","중경고등학교","04","공립","N","","복식부기","예산세출","69353000","127634000","48858000","126625000","106562000","610735000","8000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000536","중화고등학교","04","공립","N","","복식부기","예산세출","60820000","197388000","254535000","26020000","94711000","516538000","2000000","15000000"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000539","창덕여자고등학교","04","공립","N","","복식부기","예산세출","78780000","665118000","250044000","180830000","109692000","555747000","0","5000000"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000540","창동고등학교","04","공립","N","","복식부기","예산세출","88523000","76251000","201565000","151880000","110807000","628003000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000542","청담고등학교","04","공립","N","","복식부기","예산세출","128471000","206051000","209007000","11200000","43906000","468086000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000543","청량고등학교","04","공립","N","","복식부기","예산세출","81283000","473880000","110638000","55268000","114804000","602379000","13950000","100000"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000547","태릉고등학교","04","공립","N","","복식부기","예산세출","96460000","940872000","267810000","154204000","169340000","474193000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000550","한강미디어고등학교","04","공립","N","","복식부기","예산세출","64397000","306925000","279418000","23694000","141662000","446355000","0","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 강북구","S010000562","혜화여자고등학교","04","공립","N","","복식부기","예산세출","82275000","753256000","195344000","54410000","96654000","604032000","61000000","0"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000569","서울과학고등학교","04","공립","N","","복식부기","예산세출","531154000","1902099000","873053000","255630000","565235000","870766000","0","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000570","한성과학고등학교","04","공립","N","","복식부기","예산세출","74047000","1818928000","376904000","48436000","287978000","759987000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000577","서울로봇고등학교","04","공립","N","","복식부기","예산세출","83808000","878311000","433880000","102650000","221521000","537873000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000578","강서공업고등학교","04","공립","N","","복식부기","예산세출","79400000","299534000","488426000","23100000","155540000","402265000","0","2000"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000579","경기기계공업고등학교","04","공립","N","","복식부기","예산세출","154148000","1615781000","465731000","103465000","196895000","1224189000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000585","서울방송고등학교","04","공립","N","","복식부기","예산세출","58228000","290439000","266831000","24040000","134763000","449077000","1800000","500000"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000588","서울공업고등학교","04","공립","N","","복식부기","예산세출","137804000","614918000","533927000","54054000","185448000","1140769000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000590","서울도시과학기술고등학교","04","공립","N","","복식부기","예산세출","83295000","913048000","323430000","11100000","119774000","659876000","0","6000000"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000591","성동공업고등학교","04","공립","N","","복식부기","예산세출","129236000","521997000","571379000","150318000","228727000","834634000","56153000","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000592","성수공업고등학교","04","공립","N","","복식부기","예산세출","65269000","78251000","238778000","53891000","127064000","483159000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000593","서울인공지능고등학교","04","공립","N","","복식부기","예산세출","69244000","26269000","376146000","18814000","127463000","456393000","0","0"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000597","용산철도고등학교","04","공립","N","","복식부기","예산세출","89480000","834046000","443323000","14740000","170167000","659136000","0","30672000"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000602","휘경공업고등학교","04","공립","N","","복식부기","예산세출","80356000","449310000","357730000","81886000","218137000","439106000","6475000","67000000"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000603","경기상업고등학교","04","공립","N","","복식부기","예산세출","47648000","252294000","48616000","545597000","173253000","557433000","0","100000"
