"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","교육부","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","N","","225","0","174","0","219","0","7","0","0","0","625","0","625"
"서울특별시교육청","교육부","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","N","","0","137","0","141","0","119","0","8","0","0","0","405","405"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","N","","129","118","79","98","85","88","14","6","0","0","307","310","617"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","N","","180","158","189","164","148","135","5","3","0","0","522","460","982"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","N","","154","165","106","120","127","101","4","1","0","0","391","387","778"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","N","","74","76","60","85","69","59","0","0","0","0","203","220","423"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000704","단국대학교사범대학부속중학교","03","사립","N","","214","0","198","0","183","0","0","0","0","0","595","0","595"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","N","","210","146","174","138","154","159","0","0","0","0","538","443","981"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","N","","157","148","139","147","132","132","0","3","0","0","428","430","858"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","N","","223","161","187","162","186","133","0","0","0","0","596","456","1052"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","N","","116","46","111","48","116","61","0","0","0","0","343","155","498"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","N","","199","110","140","111","143","66","5","2","0","0","487","289","776"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000710","동덕여자중학교","03","사립","N","","0","163","0","133","0","125","0","0","0","0","0","421","421"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000711","반포중학교","03","공립","N","","222","0","226","0","243","0","0","0","0","0","691","0","691"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000712","방배중학교","03","공립","N","","145","39","123","48","114","43","6","0","0","0","388","130","518"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000713","봉은중학교","03","공립","N","","65","56","68","39","50","51","0","0","0","0","183","146","329"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000714","서문여자중학교","03","사립","N","","0","222","0","211","0","203","0","0","0","0","0","636","636"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000715","서운중학교","03","공립","N","","205","172","171","162","164","138","0","0","0","0","540","472","1012"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000716","서일중학교","03","공립","N","","205","161","194","156","183","123","1","2","0","0","583","442","1025"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000717","서초중학교","03","공립","N","","115","80","140","73","133","91","5","3","0","0","393","247","640"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000718","세화여자중학교","03","사립","N","","0","310","0","264","0","259","0","0","0","0","0","833","833"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000719","수서중학교","03","공립","N","","103","89","80","76","71","75","6","1","0","0","260","241","501"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000720","숙명여자중학교","03","사립","N","","0","313","0","304","0","290","0","0","0","0","0","907","907"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000721","신구중학교","03","공립","N","","48","66","48","50","61","57","0","0","0","0","157","173","330"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000722","신동중학교","03","공립","N","","147","157","132","131","141","99","0","0","0","0","420","387","807"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000723","신반포중학교","03","공립","N","","143","47","168","33","165","63","7","1","0","0","483","144","627"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000724","신사중학교","03","공립","N","","76","85","69","58","75","65","2","3","0","0","222","211","433"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000725","언남중학교","03","공립","N","","65","72","56","53","61","61","3","1","0","0","185","187","372"
