"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","정부이전수입","기타이전수입","학부모부담수입","지원금수입","행정활동수입","기타"
"서울특별시교육청","교육부","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","N","","복식부기","예산세입","0","670873000","502256000","0","6104000","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","N","","복식부기","예산세입","0","0","248857000","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","N","","복식부기","예산세입","789624000","0","0","0","93500000","15000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","N","","복식부기","예산세입","904315000","0","482020000","0","38520000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","N","","복식부기","예산세입","724340000","0","57184000","0","14510000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","N","","복식부기","예산세입","645399000","0","147794000","0","20160000","15000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","N","","복식부기","예산세입","814025000","0","0","0","98000000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","N","","복식부기","예산세입","799308000","0","0","0","7751000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","N","","복식부기","예산세입","793457000","0","0","0","12000000","15000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","N","","복식부기","예산세입","600141000","0","0","0","60500000","32865000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","N","","복식부기","예산세입","708421000","0","150000000","0","22779000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000711","반포중학교","03","공립","N","","복식부기","예산세입","749721000","9360000","146315000","0","53510000","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000712","방배중학교","03","공립","N","","복식부기","예산세입","687739000","0","164830000","0","31260000","7000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000713","봉은중학교","03","공립","N","","복식부기","예산세입","565568000","0","37049000","0","20000000","30000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000715","서운중학교","03","공립","N","","복식부기","예산세입","891508000","18720000","60000000","0","10050000","15000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000716","서일중학교","03","공립","N","","복식부기","예산세입","850194000","0","608014000","0","344010000","10000000"
