"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","교육부","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","N","","복식부기","예산세출","33240000","774129000","185200000","165200000","9360000","12104000","0","0"
"서울특별시교육청","교육부","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","N","","복식부기","예산세출","0","129445000","35000000","82300000","2112000","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","N","","복식부기","예산세출","105236000","67841000","150232000","31531000","54096000","489188000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","N","","복식부기","예산세출","54964000","262271000","384264000","89198000","130525000","523633000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","N","","복식부기","예산세출","53175000","123046000","128450000","47731000","48698000","414934000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","N","","복식부기","예산세출","30140000","149881000","136326000","48951000","113886000","349169000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","N","","복식부기","예산세출","54660000","81988000","89091000","38831000","50104000","617351000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","N","","복식부기","예산세출","47180000","67918000","148741000","42510000","108510000","406200000","0","6000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","N","","복식부기","예산세출","61230000","74771000","113178000","49490000","116908000","404880000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","N","","복식부기","예산세출","56657000","62583000","83668000","48899000","78469000","363230000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","N","","복식부기","예산세출","40140000","188540000","70803000","40471000","62007000","479239000","20000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000711","반포중학교","03","공립","N","","복식부기","예산세출","55534000","216582000","108766000","54877000","157285000","385862000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000712","방배중학교","03","공립","N","","복식부기","예산세출","39875000","113481000","216960000","74539000","59012000","386962000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000713","봉은중학교","03","공립","N","","복식부기","예산세출","30400000","104282000","60983000","42553000","56281000","358118000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000715","서운중학교","03","공립","N","","복식부기","예산세출","59740000","67712000","156702000","111245000","98746000","479633000","21000000","500000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000716","서일중학교","03","공립","N","","복식부기","예산세출","57390000","677054000","165882000","53376000","143777000","599739000","105000000","10000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000717","서초중학교","03","공립","N","","복식부기","예산세출","43680000","201018000","211766000","136868000","171742000","468504000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000719","수서중학교","03","공립","N","","복식부기","예산세출","39810000","106010000","85111000","39563000","141183000","341370000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000721","신구중학교","03","공립","N","","복식부기","예산세출","49776000","89930000","85980000","41536000","102405000","293731000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000722","신동중학교","03","공립","N","","복식부기","예산세출","50346000","125181000","234201000","90769000","105851000","488541000","100000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000723","신반포중학교","03","공립","N","","복식부기","예산세출","61550000","246157000","147812000","44863000","126355000","455561000","10000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000724","신사중학교","03","공립","N","","복식부기","예산세출","37410000","372448000","96488000","44609000","85114000","364174000","4000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000725","언남중학교","03","공립","N","","복식부기","예산세출","51340000","394674000","182303000","184778000","120607000","351065000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000726","언북중학교","03","공립","N","","복식부기","예산세출","38010000","76463000","128283000","79076000","48042000","262639000","15000000","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000727","언주중학교","03","공립","N","","복식부기","예산세출","62836000","125687000","137037000","167982000","102496000","385402000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000728","역삼중학교","03","공립","N","","복식부기","예산세출","61450000","868311000","162140000","51628000","98634000","478948000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000729","영동중학교","03","공립","N","","복식부기","예산세출","54260000","120838000","134506000","371920000","90162000","414547000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000730","원촌중학교","03","공립","N","","복식부기","예산세출","67965000","820627000","129092000","116402000","105312000","344908000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000732","이수중학교","03","공립","N","","복식부기","예산세출","24800000","32530000","75221000","36800000","62242000","391013000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000735","청담중학교","03","공립","N","","복식부기","예산세출","30880000","61748000","71781000","47209000","87055000","321130000","0","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000856","가락중학교","03","공립","N","","복식부기","예산세출","46400000","62980000","103460000","88074000","77985000","405458000","0","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000857","가원중학교","03","공립","N","","복식부기","예산세출","38650000","121349000","220531000","63957000","79047000","394836000","0","11340000"
