시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년(남),1학년(여),2학년(남),2학년(여),3학년(남),3학년(여),특수학급(남),특수학급(여),순회학급(남),순회학급(여),계(남),계(여),총계,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,_merge
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000698,개원중학교,3,공립,N,,87,162,80,173,131,139,8,8,0,0,306,482,788,,N,단설,주간,19841204,19841204,1168010300,서울특별시 강남구 개포동,184번지.,135993,6328,서울특별시 강남구 영동대로 101,", 개원중학교 (개포동,개원중학교)",37.4916411882228,127.071435,02-3411-8321,02-3411-8329,http://gaewon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000700,경원중학교,3,공립,N,,177,145,190,167,185,157,1,0,0,0,553,469,1022,,N,단설,주간,19810301,19810301,1165010600,서울특별시 서초구 잠원동,66-1.,137030,6521,서울특별시 서초구 신반포로33길 39,"(잠원동,경원중학교)",37.510997,127.008879,02-593-6578,02-599-0418,http://gyeongwon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000701,구룡중학교,3,공립,N,,118,95,127,140,160,177,6,1,0,0,411,413,824,,N,단설,주간,19890418,19881224,1168010300,서울특별시 강남구 개포동,650번지.,135806,6318,서울특별시 강남구 선릉로 103,"(개포동,구룡중학교)",37.486153295344,127.056122800297,02-577-3708,02-577-3704,http://gury.sen.ms.kr/,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000702,압구정중학교,3,공립,N,,56,77,76,80,72,73,0,0,0,0,204,230,434,,N,단설,주간,19830429,19830301,1168011000,서울특별시 강남구 압구정동,471번지.,135111,6003,서울특별시 강남구 압구정로 225,", 압구정중학교 (압구정동,압구정중학교)",37.5302391768902,127.0329857161,02-543-1393,02-514-7249,http://apgujeong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000704,단국대학교사범대학부속중학교,3,사립,N,,207,0,205,0,202,0,0,0,0,0,614,0,614,,N,부속,주간,19471103,19410525,1168010600,서울특별시 강남구 대치동,1013번지.,135852,6278,서울특별시 강남구 도곡로64길 21,(대치동),37.4953357,127.0564936,02-2191-2600,02-557-6837,http://dankook.sen.ms.kr,남,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000705,대명중학교,3,공립,N,,173,154,149,187,196,143,0,0,0,0,518,484,1002,,N,단설,주간,19900501,19900120,1168010600,서울특별시 강남구 대치동,952.,135847,6183,서울특별시 강남구 역삼로87길 26,"(대치동, 대명중학교)",37.5060558822352,127.061064277264,02-563-3701,02-565-3404,http://daemyeong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000706,대왕중학교,3,공립,N,,158,126,145,170,154,146,3,1,0,0,460,443,903,,N,단설,주간,19940506,19940105,1168011500,서울특별시 강남구 수서동,750번지.,135886,6362,서울특별시 강남구 광평로20길 7,"(수서동, 대왕중학교)",37.4834565459267,127.087340196492,02-2226-2646,02-2226-2640,http://daewang.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000707,대청중학교,3,공립,N,,195,159,189,145,216,160,0,0,0,0,600,464,1064,,N,단설,주간,19870506,19870506,1168010600,서울특별시 강남구 대치동,502번지.,135281,6289,서울특별시 강남구 양재천로 321,"(대치동, 대청중학교)",37.4904302007366,127.058351319543,02-553-9830,02-561-6224,http://daecheong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000708,대치중학교,3,공립,N,,101,64,136,96,150,77,0,0,0,0,387,237,624,,N,단설,주간,19860129,19860129,1168011800,서울특별시 강남구 도곡동,460번지.,135855,6299,서울특별시 강남구 남부순환로378길 39,"(도곡동,대치중학교)",37.4845654,127.0472825,02-572-9781,02-579-7315,http://daechi.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000709,도곡중학교,3,공립,N,,130,87,139,98,192,99,3,1,0,0,464,285,749,,N,단설,주간,19910423,19910121,1168011800,서울특별시 강남구 도곡동,541-2.,135857,6273,서울특별시 강남구 언주로57길 31,"(도곡동,도곡중학교)",37.4923472,127.0450882,02-3462-5951,02-3461-7393,http://dogok.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000710,동덕여자중학교,3,사립,N,,0,152,0,164,0,158,0,0,0,0,0,474,474,,N,단설,주간,19100427,19080427,1165010100,서울특별시 서초구 방배동,산82번지.,137063,6700,서울특별시 서초구 효령로2길 123-5,"(방배동,동덕여자중고등학교)",37.4762931,126.9926473,02-586-5417,02-582-5428,http://dongduk.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000711,반포중학교,3,공립,N,,0,0,223,0,211,0,0,0,0,0,434,0,434,,N,단설,주간,19751010,19741227,1165010700,서울특별시 서초구 반포동,936번지.,137040,6502,서울특별시 서초구 신반포로 67,"(반포동,반포중학교)",37.5030706,126.9918514,02-599-2304,02-536-9599,http://banpo.sen.ms.kr,남,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000712,방배중학교,3,공립,N,,144,35,130,56,153,38,3,1,0,0,430,130,560,,N,단설,주간,19810430,19801227,1165010700,서울특별시 서초구 반포동,586-1번지.,137807,6589,서울특별시 서초구 동광로 144,"(반포동,방배중학교)",37.494454,126.998434,02-532-1342,02-599-6455,http://bangbae.sen.ms.kr,남녀공학,both
