시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년(남),1학년(여),2학년(남),2학년(여),3학년(남),3학년(여),4학년(남),4학년(여),5학년(남),5학년(여),6학년(남),6학년(여),특수학급(남),특수학급(여),순회학급(남),순회학급(여),계(남),계(여),총계,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,_merge,longitude,latitude
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000738,서울개일초등학교,2,공립,N,,90.0,93.0,87.0,76.0,88.0,88.0,90.0,96.0,87.0,90.0,101.0,92.0,0.0,0.0,0.0,0.0,543.0,535.0,1078.0,,N,단설,주간,19871117,19871117,1168010300,서울특별시 강남구 개포동,174번지.,135804,6323,서울특별시 강남구 개포로 401,", 개일초등학교 (개포동,개일초등학교)",37.4862137836501,127.057741991082,02-571-8320,02-571-8325,http://gaeil.sen.es.kr,남녀공학,both,127.0577545,37.4861944
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000741,서울구룡초등학교,2,공립,N,,54.0,55.0,56.0,59.0,60.0,55.0,72.0,59.0,69.0,64.0,64.0,68.0,5.0,5.0,0.0,0.0,380.0,365.0,745.0,,N,단설,주간,19850506,19831130,1168010300,서울특별시 강남구 개포동,655번지.,135244,6305,서울특별시 강남구 개포로 263,"(개포동,구룡초등학교)",37.48119253448,127.051754925242,02-573-5017,02-575-4237,http://kuryong.sen.es.kr,남녀공학,both,127.0516542,37.4811231
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000742,서울논현초등학교,2,공립,N,,17.0,17.0,19.0,28.0,19.0,15.0,24.0,22.0,20.0,26.0,23.0,23.0,9.0,4.0,0.0,0.0,131.0,135.0,266.0,,N,단설,주간,19721123,19721123,1168010800,서울특별시 강남구 논현동,168번지.,135010,6119,서울특별시 강남구 강남대로120길 33,"(논현동,논현초등학교)",37.5081699,127.0260317,02-514-6636,02-514-7072,http://nonhyun.sen.es.kr,남녀공학,both,127.0263309,37.5084606
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000743,서울대곡초등학교,2,공립,N,,76.0,72.0,73.0,60.0,101.0,92.0,117.0,109.0,130.0,106.0,146.0,124.0,3.0,0.0,0.0,0.0,646.0,563.0,1209.0,,N,단설,주간,19820402,19810909,1168010600,서울특별시 강남구 대치동,510번지.,135837,6288,서울특별시 강남구 남부순환로 3022,", 서울대곡초등학교 (대치동,대곡초등학교)",37.4947119051009,127.065026466777,02-565-1942,02-565-1947,http://seouldaegok.sen.es.kr,남녀공학,both,127.0648526,37.4946298
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000744,서울대도초등학교,2,공립,N,,111.0,112.0,145.0,132.0,154.0,156.0,205.0,214.0,199.0,194.0,206.0,197.0,0.0,0.0,0.0,0.0,1020.0,1005.0,2025.0,,N,단설,주간,19800327,19790327,1168011800,서울특별시 강남구 도곡동,109번지.,135272,6277,서울특별시 강남구 선릉로 209,"(도곡동, 서울대도초등학교)",37.4927679777874,127.053346013247,02-3463-5377,02-3462-2507,http://sdaedo.sen.es.kr,남녀공학,both,127.0533831,37.4929987
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000745,서울대모초등학교,2,공립,N,,74.0,49.0,78.0,57.0,84.0,59.0,86.0,64.0,107.0,79.0,104.0,79.0,0.0,0.0,0.0,0.0,533.0,387.0,920.0,,N,단설,주간,19941014,19940805,1168011400,서울특별시 강남구 일원동,736번지.,135239,6363,서울특별시 강남구 광평로20길 27,", 대모초등학교 (일원동,대모초등학교)",37.481536,127.086562,02-2226-3715,02-2226-3750,http://daemo.sen.es.kr,남녀공학,both,127.0862508,37.4814070
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000746,서울대왕초등학교,2,공립,N,,44.0,47.0,41.0,45.0,48.0,55.0,49.0,45.0,76.0,57.0,84.0,76.0,5.0,0.0,0.0,0.0,347.0,325.0,672.0,,N,단설,주간,19330501,19321125,1168011100,서울특별시 강남구 세곡동,122-2.,135190,6365,서울특별시 강남구 헌릉로618길 8,"(세곡동,대왕초등학교)",37.4646213557123,127.105589464202,02-3412-0122,02-3412-0126,http://daewang.sen.es.kr,남녀공학,both,127.1056833,37.4646127
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000747,서울대진초등학교,2,공립,N,,25.0,25.0,25.0,19.0,24.0,23.0,29.0,19.0,24.0,24.0,21.0,12.0,4.0,1.0,0.0,0.0,152.0,123.0,275.0,,N,단설,주간,19921026,19920715,1168010300,서울특별시 강남구 개포동,13번지.,135939,6334,서울특별시 강남구 개포로109길 74,", 서울대진초등학교 (개포동)",37.4970105766855,127.078078479274,02-3412-0472,02-3412-0478,http://seouldaejin.sen.es.kr,남녀공학,both,127.0780359,37.4971217
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000748,서울대청초등학교,2,공립,N,,10.0,6.0,6.0,15.0,11.0,5.0,6.0,14.0,12.0,9.0,11.0,4.0,4.0,3.0,0.0,0.0,60.0,56.0,116.0,,N,단설,주간,19930227,19930227,1168011400,서울특별시 강남구 일원동,712번지.,135938,6341,서울특별시 강남구 양재대로55길 28,", 서울대청초등학교 (일원동)",37.4931330378071,127.087785687416,02-459-2152,02-459-7918,http://daecheong.sen.es.kr,남녀공학,both,127.0877004,37.4930888
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000749,서울대치초등학교,2,공립,N,,62.0,64.0,98.0,69.0,147.0,104.0,143.0,132.0,194.0,133.0,187.0,160.0,0.0,0.0,0.0,0.0,831.0,662.0,1493.0,,N,단설,주간,19840509,19840509,1168010600,서울특별시 강남구 대치동,505.,135280,6291,서울특별시 강남구 양재천로 363,"(대치동, 대치초등학교)",37.4913113474101,127.061965930069,02-555-2455,02-555-2485,http://daechi.sen.es.kr/,남녀공학,both,127.0619473,37.4912850
